ID;name;description
11111111-2222-3333-4444-555555550001;Action-Adventure;Focuses on combat and exploration with puzzle-solving elements. Examples include Tomb Raider and Uncharted.
11111111-2222-3333-4444-555555550002;First-Person Shooter;Player views the action through the eyes of the protagonist, using ranged weapons. Popularized by DOOM and Call of Duty.
11111111-2222-3333-4444-555555550003;Role-Playing Game;Character progression, quests, and storytelling. Includes subgenres like JRPG, ARPG, and CRPG.
11111111-2222-3333-4444-555555550004;Real-Time Strategy;Players control units and buildings in real-time to achieve objectives. StarCraft and Age of Empires are key examples.
11111111-2222-3333-4444-555555550005;Simulation;Replicates real-world activities or systems. Flight simulators, farming simulators, and city-building games belong here.
11111111-2222-3333-4444-555555550006;Survival Horror;Emphasizes resource management and fear, often with limited combat options. Resident Evil and Silent Hill define this genre.
11111111-2222-3333-4444-555555550007;Battle Royale;Large-scale PvP last-man-standing gameplay. Fortnite, PUBG, and Apex Legends are famous examples.
11111111-2222-3333-4444-555555550008;Roguelike;Features permadeath and procedural generation. Hades, The Binding of Isaac, and Dead Cells fit here.
11111111-2222-3333-4444-555555550009;Stealth;Avoiding detection by enemies, with gadgets and silent takedowns. Metal Gear Solid and Dishonored are key titles.
11111111-2222-3333-4444-555555550010;Open World;Large, freely explorable environments with nonlinear objectives. The Elder Scrolls V: Skyrim and Grand Theft Auto V are iconic.
11111111-2222-3333-4444-555555550011;Metroidvania;Interconnected map with ability-gated progression. Hollow Knight and Castlevania: Symphony of the Night define this style.
11111111-2222-3333-4444-555555550012;Fighting;Close combat between characters with special moves. Street Fighter, Tekken, and Mortal Kombat lead this genre.
11111111-2222-3333-4444-555555550013;Puzzle;Focus on logic, pattern recognition, and problem-solving. Portal, Tetris, and The Witness are classic examples.
11111111-2222-3333-4444-555555550014;Racing;Competitive driving on tracks or open roads. Need for Speed, Forza Horizon, and Gran Turismo are popular.
11111111-2222-3333-4444-555555550015;Sandbox;Minimal goals, giving players freedom to create or destroy. Minecraft and Garry's Mod are prime examples.
11111111-2222-3333-4444-555555550016;Tactical RPG;Turn-based combat with strategic positioning. Fire Emblem and XCOM belong to this subgenre.
11111111-2222-3333-4444-555555550017;MMORPG;Massively multiplayer online role-playing with persistent worlds. World of Warcraft and Final Fantasy XIV lead this space.
11111111-2222-3333-4444-555555550018;Visual Novel;Story-driven with minimal gameplay, focusing on choices and dialogue. Doki Doki Literature Club and Steins,Gate are examples.
11111111-2222-3333-4444-555555550019;Rhythm;Players match inputs to music beats. Dance Dance Revolution, osu!, and Beat Saber fit here.
11111111-2222-3333-4444-555555550020;Party;Designed for local multiplayer with simple minigames. Mario Party and Jackbox Party Pack are iconic.
11111111-2222-3333-4444-555555550021;Horror;Focus on fear, dread, and psychological tension. Outlast and Amnesia: The Dark Descent are key titles.
11111111-2222-3333-4444-555555550022;Soulslike;High difficulty, stamina-based combat, and cryptic storytelling. Dark Souls, Bloodborne, and Elden Ring define this.
11111111-2222-3333-4444-555555550023;Walking Simulator;Exploration and narrative with minimal mechanics. Firewatch and What Remains of Edith Finch are examples.
11111111-2222-3333-4444-555555550024;Tower Defense;Build towers to stop enemies along a path. Kingdom Rush and Bloons TD are popular.
11111111-2222-3333-4444-555555550025;Card Battle;Collect and play cards to defeat opponents. Hearthstone, Magic: The Gathering Arena, and Gwent lead here.
11111111-2222-3333-4444-555555550026;Extraction Shooter;PvPvE with loot extraction mechanics. Escape from Tarkov and Hunt: Showdown are key examples.
11111111-2222-3333-4444-555555550027;Immersive Sim;Emergent gameplay with multiple solutions to problems. Deus Ex and Prey (2017) define this genre.
11111111-2222-3333-4444-555555550028;Life Simulation;Manage daily activities or relationships. The Sims and Animal Crossing are the most famous.
11111111-2222-3333-4444-555555550029;Sports;Simulates traditional sports gameplay. FIFA, NBA 2K, and Madden NFL belong here.
11111111-2222-3333-4444-555555550030;Hack and Slash;Fast-paced melee combat against many enemies. Devil May Cry and Dynasty Warriors are examples.