ID;offering_id;author_id;rating;comment;date
11111111-8888-9999-0000-111111110001;11111111-5555-6666-7777-888888880001;11111111-1111-1111-1111-111111111101;5;Amazing game! One of the best RPGs I've ever played. Key activated without any issues. Highly recommend this seller!;2026-03-10T14:30:00Z
11111111-8888-9999-0000-111111110002;11111111-5555-6666-7777-888888880001;11111111-1111-1111-1111-111111111103;4;Great game but took a while to download. Key worked perfectly though. Good seller.;2026-03-12T09:15:00Z
11111111-8888-9999-0000-111111110003;11111111-5555-6666-7777-888888880002;11111111-1111-1111-1111-111111111104;5;The Witcher 3 is a masterpiece! Got the GOTY edition with both DLCs. Best price on the platform.;2026-03-14T16:45:00Z
11111111-8888-9999-0000-111111110004;11111111-5555-6666-7777-888888880002;11111111-1111-1111-1111-111111111106;4;Good game, classic RPG. Delivery was fast. Would buy from this seller again.;2026-03-15T11:20:00Z
11111111-8888-9999-0000-111111110005;11111111-5555-6666-7777-888888880003;11111111-1111-1111-1111-111111111107;5;Call of Duty never disappoints! Multiplayer is awesome. Key worked fine.;2026-03-17T13:40:00Z
11111111-8888-9999-0000-111111110006;11111111-5555-6666-7777-888888880003;11111111-1111-1111-1111-111111111109;3;Decent FPS but campaign was short. Key is fine, seller is ok.;2026-03-18T10:00:00Z
11111111-8888-9999-0000-111111110007;11111111-5555-6666-7777-888888880004;11111111-1111-1111-1111-111111111110;5;Hades II is incredible! Even in early access it's better than most full games. Fast key delivery.;2026-03-20T15:30:00Z
11111111-8888-9999-0000-111111110008;11111111-5555-6666-7777-888888880004;11111111-1111-1111-1111-111111111111;5;Love this roguelike! So much replayability. Seller delivered key instantly.;2026-03-22T12:15:00Z
11111111-8888-9999-0000-111111110009;11111111-5555-6666-7777-888888880005;11111111-1111-1111-1111-111111111112;5;Baldur's Gate 3 is game of the year! 200+ hours of content. Key worked perfectly.;2026-03-24T09:45:00Z
11111111-8888-9999-0000-111111110010;11111111-5555-6666-7777-888888880005;11111111-1111-1111-1111-111111111113;4;Great CRPG but quite complex for beginners. Key is authentic, seller is reliable.;2026-03-25T14:20:00Z
11111111-8888-9999-0000-111111110011;11111111-5555-6666-7777-888888880006;11111111-1111-1111-1111-111111111114;5;Minecraft is timeless! Got Java edition, works perfectly. Great seller!;2026-03-27T11:30:00Z
11111111-8888-9999-0000-111111110012;11111111-5555-6666-7777-888888880006;11111111-1111-1111-1111-111111111115;5;My son loves this game. Key was delivered instantly. Highly recommend this seller.;2026-03-28T16:10:00Z
11111111-8888-9999-0000-111111110013;11111111-5555-6666-7777-888888880007;11111111-1111-1111-1111-111111111116;4;Cyberpunk is much better now after patches. Good game, good price. Key works.;2026-03-30T10:25:00Z
11111111-8888-9999-0000-111111110014;11111111-5555-6666-7777-888888880007;11111111-1111-1111-1111-111111111118;3;Still some bugs but enjoyable. Seller delivered key but took a few hours.;2026-03-31T13:50:00Z
11111111-8888-9999-0000-111111110015;11111111-5555-6666-7777-888888880008;11111111-1111-1111-1111-111111111119;5;Resident Evil 4 Remake is terrifying and beautiful! Best survival horror I've played. Great seller!;2026-04-02T15:15:00Z
11111111-8888-9999-0000-111111110016;11111111-5555-6666-7777-888888880008;11111111-1111-1111-1111-111111111121;4;Great remake! Keeps the original spirit but improves everything. Key works fine.;2026-04-03T09:40:00Z
11111111-8888-9999-0000-111111110017;11111111-5555-6666-7777-888888880009;11111111-1111-1111-1111-111111111122;5;Street Fighter 6 is back to form! Modern controls are great for newcomers. Key delivered instantly.;2026-04-04T14:05:00Z
11111111-8888-9999-0000-111111110018;11111111-5555-6666-7777-888888880009;11111111-1111-1111-1111-111111111124;5;Best fighting game in years! Online works great. Trusted seller, will buy again.;2026-04-05T11:35:00Z
11111111-8888-9999-0000-111111110019;11111111-5555-6666-7777-888888880010;11111111-1111-1111-1111-111111111125;5;Forza Horizon 5 is stunning! Best racing game on PC. Premium edition worth every penny.;2026-04-06T16:50:00Z
11111111-8888-9999-0000-111111110020;11111111-5555-6666-7777-888888880010;11111111-1111-1111-1111-111111111126;4;Great graphics and handling. DLCs are nice. Seller delivered key quickly.;2026-04-07T10:15:00Z
11111111-8888-9999-0000-111111110021;11111111-5555-6666-7777-888888880011;11111111-1111-1111-1111-111111111127;5;DOOM Eternal is pure adrenaline! Best FPS combat ever. Great price from seller.;2026-04-08T13:30:00Z
11111111-8888-9999-0000-111111110022;11111111-5555-6666-7777-888888880011;11111111-1111-1111-1111-111111111128;5;Rip and tear! Amazing soundtrack and gameplay. Key worked perfectly. 10/10!;2026-04-09T09:55:00Z
11111111-8888-9999-0000-111111110023;11111111-5555-6666-7777-888888880012;11111111-1111-1111-1111-111111111130;4;Looking forward to Silksong! Pre-order key works. Hope the game delivers.;2026-04-10T15:20:00Z
11111111-8888-9999-0000-111111110024;11111111-5555-6666-7777-888888880013;11111111-1111-1111-1111-111111111131;5;Bloodborne on PC finally! Works great with emulator. Rare key, happy with purchase.;2026-04-11T11:45:00Z
11111111-8888-9999-0000-111111110025;11111111-5555-6666-7777-888888880014;11111111-1111-1111-1111-111111111132;4;StarCraft II campaigns are great for RTS fans. Key activated without issues.;2026-04-12T14:10:00Z
11111111-8888-9999-0000-111111110026;11111111-5555-6666-7777-888888880015;11111111-1111-1111-1111-111111111134;5;Tekken 8 is amazing! Best fighting game graphics and mechanics. Seller delivered fast.;2026-04-13T10:30:00Z
11111111-8888-9999-0000-111111110027;11111111-5555-6666-7777-888888880016;11111111-1111-1111-1111-111111111135;5;Horizon Forbidden West is beautiful! Great story and combat. Complete edition is worth it.;2026-04-01T16:25:00Z
11111111-8888-9999-0000-111111110028;11111111-5555-6666-7777-888888880017;11111111-1111-1111-1111-111111111136;4;Flight Simulator is incredibly realistic. Need a powerful PC though. Key works fine.;2026-04-02T12:40:00Z
11111111-8888-9999-0000-111111110029;11111111-5555-6666-7777-888888880018;11111111-1111-1111-1111-111111111137;5;Red Dead Redemption 2 is a masterpiece! Best story in any game. Great seller!;2026-04-03T09:05:00Z
11111111-8888-9999-0000-111111110030;11111111-5555-6666-7777-888888880019;11111111-1111-1111-1111-111111111139;5;Dead Cells is so addictive! Castlevania DLC is fantastic. Key delivered instantly.;2026-04-04T13:50:00Z
11111111-8888-9999-0000-111111110031;11111111-5555-6666-7777-888888880020;11111111-1111-1111-1111-111111111140;4;Apex coins work fine. Good price compared to official store. Will buy again.;2026-04-05T15:15:00Z
11111111-8888-9999-0000-111111110032;11111111-5555-6666-7777-888888880021;11111111-1111-1111-1111-111111111141;5;WoW game time added instantly. Cheaper than subscription. Reliable seller.;2026-04-06T10:35:00Z
11111111-8888-9999-0000-111111110033;11111111-5555-6666-7777-888888880022;11111111-1111-1111-1111-111111111142;5;GTA V still holds up! Premium edition has good bonuses. Key worked perfectly.;2026-04-07T14:55:00Z
11111111-8888-9999-0000-111111110034;11111111-5555-6666-7777-888888880023;11111111-1111-1111-1111-111111111144;4;Dishonored 2 is underrated. Great stealth mechanics. Good price from seller.;2026-04-08T11:20:00Z
11111111-8888-9999-0000-111111110035;11111111-5555-6666-7777-888888880024;11111111-1111-1111-1111-111111111145;5;XCOM 2 Collection is huge! So much content. Key works fine. Happy customer.;2026-04-09T16:40:00Z
11111111-8888-9999-0000-111111110036;11111111-5555-6666-7777-888888880025;11111111-1111-1111-1111-111111111146;5;FFXIV is the best MMO! Complete edition includes everything. Great seller!;2026-04-10T09:15:00Z
11111111-8888-9999-0000-111111110037;11111111-5555-6666-7777-888888880026;11111111-1111-1111-1111-111111111148;5;Portal 2 is a classic! Co-op is hilarious. Best $4 I've ever spent.;2026-04-11T13:30:00Z
11111111-8888-9999-0000-111111110038;11111111-5555-6666-7777-888888880027;11111111-1111-1111-1111-111111111149;4;Outlast 2 is scary! Good horror game. Key worked fine. Would recommend.;2026-04-12T15:45:00Z
11111111-8888-9999-0000-111111110039;11111111-5555-6666-7777-888888880028;11111111-1111-1111-1111-111111111150;5;Sims 4 Horse Ranch is fun! Adds a lot of content. Key delivered instantly.;2026-04-13T10:10:00Z
11111111-8888-9999-0000-111111110040;11111111-5555-6666-7777-888888880029;11111111-1111-1111-1111-111111111101;4;Hunt Showdown is intense! Hard but rewarding. Good price from seller.;2026-04-01T12:25:00Z