ID;seller_id;leftBy_id;rating;comment;date
11111111-7777-8888-9999-000000000001;11111111-1111-1111-1111-111111111102;11111111-1111-1111-1111-111111111101;5;Excellent seller! Delivered the key instantly and answered all my questions. Highly recommended!;2026-03-15T10:30:00Z
11111111-7777-8888-9999-000000000002;11111111-1111-1111-1111-111111111105;11111111-1111-1111-1111-111111111103;4;Good communication, key worked fine. Slight delay in delivery but overall positive experience.;2026-03-16T14:45:00Z
11111111-7777-8888-9999-000000000003;11111111-1111-1111-1111-111111111108;11111111-1111-1111-1111-111111111104;5;Perfect transaction! Got my game code within 5 minutes. Will buy again.;2026-03-18T09:20:00Z
11111111-7777-8888-9999-000000000004;11111111-1111-1111-1111-111111111117;11111111-1111-1111-1111-111111111106;3;Key worked but seller took almost a day to respond. Acceptable but not great.;2026-03-20T16:15:00Z
11111111-7777-8888-9999-000000000005;11111111-1111-1111-1111-111111111120;11111111-1111-1111-1111-111111111107;5;Amazing seller! Got a great deal on Baldur's Gate 3. Very friendly and helpful.;2026-03-22T11:00:00Z
11111111-7777-8888-9999-000000000006;11111111-1111-1111-1111-111111111123;11111111-1111-1111-1111-111111111109;2;Key was region locked despite being listed as Global. Seller offered refund after long delay.;2026-03-25T13:30:00Z
11111111-7777-8888-9999-000000000007;11111111-1111-1111-1111-111111111129;11111111-1111-1111-1111-111111111110;5;Trusted seller! Bought several keys from them, always reliable. Fast delivery.;2026-03-27T15:45:00Z
11111111-7777-8888-9999-000000000008;11111111-1111-1111-1111-111111111133;11111111-1111-1111-1111-111111111111;4;Good price, key worked. Communication was okay. Would buy again if price is right.;2026-03-28T10:15:00Z
11111111-7777-8888-9999-000000000009;11111111-1111-1111-1111-111111111138;11111111-1111-1111-1111-111111111112;5;Super fast delivery! Got my Street Fighter 6 key in 2 minutes. Perfect seller.;2026-03-29T12:20:00Z
11111111-7777-8888-9999-000000000010;11111111-1111-1111-1111-111111111143;11111111-1111-1111-1111-111111111113;1;Scam! Key was already used. Seller stopped responding after I complained. Avoid!;2026-03-30T18:00:00Z
11111111-7777-8888-9999-000000000011;11111111-1111-1111-1111-111111111147;11111111-1111-1111-1111-111111111114;5;Great seller! Very patient with my questions about region compatibility. Key works perfectly.;2026-04-01T09:45:00Z
11111111-7777-8888-9999-000000000012;11111111-1111-1111-1111-111111111102;11111111-1111-1111-1111-111111111115;4;Good experience overall. Delivery took about 30 minutes but key is genuine.;2026-04-02T14:30:00Z
11111111-7777-8888-9999-000000000013;11111111-1111-1111-1111-111111111105;11111111-1111-1111-1111-111111111116;5;Best price for Witcher 3 GOTY! Instant delivery. Will definitely buy from this seller again.;2026-04-03T11:15:00Z
11111111-7777-8888-9999-000000000014;11111111-1111-1111-1111-111111111108;11111111-1111-1111-1111-111111111118;3;Key worked but seller was rude in chat. Got my offering but not a pleasant experience.;2026-04-04T16:40:00Z
11111111-7777-8888-9999-000000000015;11111111-1111-1111-1111-111111111117;11111111-1111-1111-1111-111111111119;5;Excellent service! Even gave me a small discount for bulk purchase. Highly recommend!;2026-04-05T10:00:00Z
11111111-7777-8888-9999-000000000016;11111111-1111-1111-1111-111111111120;11111111-1111-1111-1111-111111111121;4;Good seller. Key arrived within an hour. Would buy again.;2026-04-06T13:25:00Z
11111111-7777-8888-9999-000000000017;11111111-1111-1111-1111-111111111123;11111111-1111-1111-1111-111111111122;5;Perfect! Got my Minecraft account, everything works. Seller was very responsive.;2026-04-07T15:50:00Z
11111111-7777-8888-9999-000000000018;11111111-1111-1111-1111-111111111129;11111111-1111-1111-1111-111111111124;2;Key was for wrong region. Seller exchanged it but took 3 days. Frustrating experience.;2026-04-08T09:10:00Z
11111111-7777-8888-9999-000000000019;11111111-1111-1111-1111-111111111133;11111111-1111-1111-1111-111111111125;5;Amazing seller! Got Resident Evil 4 Remake for great price. Instant delivery. 10/10!;2026-04-09T12:35:00Z
11111111-7777-8888-9999-000000000020;11111111-1111-1111-1111-111111111138;11111111-1111-1111-1111-111111111126;4;Good transaction. Key worked fine. Seller could improve response time though.;2026-04-10T17:20:00Z
11111111-7777-8888-9999-000000000021;11111111-1111-1111-1111-111111111143;11111111-1111-1111-1111-111111111127;5;Very professional seller. Key delivered instantly. Will be a repeat customer.;2026-04-11T11:45:00Z
11111111-7777-8888-9999-000000000022;11111111-1111-1111-1111-111111111147;11111111-1111-1111-1111-111111111128;3;Average experience. Key worked but seller didn't communicate much. Fine for the price.;2026-04-12T14:15:00Z
11111111-7777-8888-9999-000000000023;11111111-1111-1111-1111-111111111102;11111111-1111-1111-1111-111111111130;5;Outstanding! Got DOOM Eternal for half price. Seller even followed up to make sure key worked.;2026-04-13T09:30:00Z
11111111-7777-8888-9999-000000000024;11111111-1111-1111-1111-111111111105;11111111-1111-1111-1111-111111111131;4;Solid seller. Would recommend. Delivery was fast, key authentic.;2026-04-01T10:20:00Z
11111111-7777-8888-9999-000000000025;11111111-1111-1111-1111-111111111108;11111111-1111-1111-1111-111111111132;5;Best seller on this platform! Very helpful with my activation issue. 5 stars!;2026-04-02T13:45:00Z
11111111-7777-8888-9999-000000000026;11111111-1111-1111-1111-111111111117;11111111-1111-1111-1111-111111111134;1;Fake key! Seller blocked me after purchase. Opened dispute with platform support.;2026-04-03T19:30:00Z
11111111-7777-8888-9999-000000000027;11111111-1111-1111-1111-111111111120;11111111-1111-1111-1111-111111111135;5;Trustworthy seller! Bought multiple times, never disappointed. Fast and reliable.;2026-04-04T08:15:00Z
11111111-7777-8888-9999-000000000028;11111111-1111-1111-1111-111111111123;11111111-1111-1111-1111-111111111136;4;Good experience. Key worked, delivery took about 45 minutes. Acceptable.;2026-04-05T16:30:00Z
11111111-7777-8888-9999-000000000029;11111111-1111-1111-1111-111111111129;11111111-1111-1111-1111-111111111137;5;Perfect transaction! Seller provided screenshots of key before purchase. Very transparent.;2026-04-06T11:10:00Z
11111111-7777-8888-9999-000000000030;11111111-1111-1111-1111-111111111133;11111111-1111-1111-1111-111111111139;5;Amazing deal on Dead Cells! Key arrived in 5 minutes. Will buy again for sure.;2026-04-07T14:55:00Z